split,image,kept,reason,boxes_out
train,0_8082,True,ok,1
train,0_8083,True,ok,1
train,0_8084,True,ok,1
train,0_8086,True,ok,1
train,0_8087,True,ok,1
train,0_8088,True,ok,1
train,0_8089,True,ok,1
train,0_8090,True,ok,1
train,0_8091,True,ok,1
train,0_8092,True,ok,1
train,0_8093,True,ok,1
train,0_8094,True,ok,1
train,0_8095,True,ok,1
train,0_8096,True,ok,1
train,0_8097,True,ok,1
train,0_8098,True,ok,1
train,0_8099,True,ok,1
train,0_8101,True,ok,1
train,0_8102,True,ok,1
train,0_8103,True,ok,1
train,0_8104,True,ok,1
train,0_8105,True,ok,1
train,0_8106,True,ok,1
train,0_8107,True,ok,1
train,0_8108,True,ok,1
train,0_8109,True,ok,1
train,0_8110,True,ok,1
train,0_8111,True,ok,1
train,0_8112,True,ok,1
train,0_8113,True,ok,1
train,0_8114,True,ok,1
train,0_8115,True,ok,1
train,0_8116,True,ok,1
train,0_8117,True,ok,1
train,0_8118,True,ok,1
train,0_8119,True,ok,1
train,0_8120,True,ok,1
train,0_8121,True,ok,1
train,0_8122,True,ok,1
train,0_8123,True,ok,1
train,0_8124,True,ok,1
train,0_8125,True,ok,1
train,0_8126,True,ok,1
train,0_8127,True,ok,1
train,0_8128,True,ok,1
train,0_8129,True,ok,1
train,0_8130,True,ok,1
train,0_8131,True,ok,1
train,0_8132,True,ok,1
train,0_8133,True,ok,1
train,0_8134,True,ok,1
train,0_8135,True,ok,1
train,0_8136,True,ok,1
train,0_8137,True,ok,1
train,0_8138,True,ok,1
train,0_8139,True,ok,1
train,0_8140,True,ok,1
train,0_8141,True,ok,1
train,0_8161,True,ok,1
train,0_8583,True,ok,1
train,0_8591,True,ok,1
train,0_8637,True,ok,1
train,0_8642,True,ok,1
train,0_8643,True,ok,1
train,0_8645,True,ok,1
train,0_8656,True,ok,1
train,0_8658,True,ok,1
train,0_8659,True,ok,1
train,0_8660,True,ok,1
train,0_8673,True,ok,1
train,0_8677,True,ok,1
train,0_8680,True,ok,1
train,0_8687,True,ok,1
train,0_8688,True,ok,1
train,0_8697,True,ok,1
train,0_8707,True,ok,1
train,0_8709,True,ok,1
train,0_8713,True,ok,1
train,0_8753,True,ok,1
train,0_8754,True,ok,1
train,0_8755,True,ok,1
train,0_8756,True,ok,1
train,0_8757,True,ok,1
train,0_8758,True,ok,1
train,0_8759,True,ok,1
train,0_8760,True,ok,1
train,0_8761,True,ok,1
train,0_8762,True,ok,1
train,0_8763,True,ok,1
train,0_8764,True,ok,1
train,0_8765,True,ok,1
train,0_8766,True,ok,1
train,0_8767,True,ok,1
train,0_8768,True,ok,1
train,0_8769,True,ok,1
train,0_8770,True,ok,1
train,0_8771,True,ok,1
train,0_8772,True,ok,1
train,0_8775,True,ok,1
train,0_8777,True,ok,1
train,0_8782,True,ok,1
train,0_8792,True,ok,1
train,0_8802,True,ok,1
train,0_8862,True,ok,1
train,0_8872,True,ok,1
train,0_8893,True,ok,1
train,0_8912,True,ok,1
train,100_1014,True,ok,2
train,100_1034,True,ok,2
train,100_1054,True,ok,2
train,100_1074,True,ok,2
train,100_1094,True,ok,2
train,100_1114,True,ok,2
train,100_1124,True,ok,2
train,100_1144,True,ok,2
train,100_1164,True,ok,1
train,100_1184,True,ok,2
train,100_1204,True,ok,2
train,100_1224,True,ok,2
train,100_1244,True,ok,2
train,100_1254,True,ok,1
train,100_1269,True,ok,1
train,100_1274,True,ok,1
train,100_1304,True,ok,1
train,100_1314,True,ok,2
train,100_1324,True,ok,2
train,100_1344,True,ok,2
train,100_1364,True,ok,2
train,100_1467,True,ok,1
train,100_1475,True,ok,1
train,100_1477,True,ok,1
train,100_1495,True,ok,1
train,100_1515,True,ok,1
train,100_1539,True,ok,1
train,100_1542,True,ok,1
train,100_1545,True,ok,1
train,100_1565,True,ok,1
train,100_1585,True,ok,1
train,100_1601,True,ok,1
train,100_1605,True,ok,1
train,100_1625,True,ok,1
train,100_1645,True,ok,1
train,100_1665,True,ok,1
train,100_1683,True,ok,1
train,100_1685,True,ok,1
train,100_1705,True,ok,1
train,100_1725,True,ok,1
train,100_1745,True,ok,1
train,100_1993,True,ok,1
train,100_2003,True,ok,2
train,100_2013,True,ok,1
train,100_2023,True,ok,2
train,100_2043,True,ok,2
train,100_2063,True,ok,2
train,100_2083,True,ok,2
train,100_2103,True,ok,1
train,100_2123,True,ok,1
train,100_5778,True,ok,1
train,100_5788,True,ok,1
train,100_5798,True,ok,1
train,100_5818,True,ok,1
train,100_5838,True,ok,1
train,100_5858,True,ok,1
train,100_5878,True,ok,1
train,100_5886,True,ok,1
train,100_5926,True,ok,1
train,100_5946,True,ok,1
train,100_5966,True,ok,1
train,100_5976,True,ok,1
train,100_6993,True,ok,1
train,100_7003,True,ok,1
train,100_7022,True,ok,1
train,100_7023,True,ok,1
train,100_7043,True,ok,1
train,100_7063,True,ok,1
train,100_7071,True,ok,1
train,100_7072,True,ok,1
train,100_7075,True,ok,1
train,100_7081,True,ok,1
train,100_7085,True,ok,1
train,100_7092,True,ok,1
train,100_7099,True,ok,2
train,100_7101,True,ok,1
train,100_7105,True,ok,1
train,100_7121,True,ok,1
train,100_7125,True,ok,1
train,100_7141,True,ok,1
train,100_7151,True,ok,1
train,100_7155,True,ok,1
train,100_7171,True,ok,1
train,100_7184,True,ok,3
train,100_7185,True,ok,1
train,100_7191,True,ok,1
train,100_7199,True,ok,1
train,100_7211,True,ok,2
train,100_7231,True,ok,2
train,100_7251,True,ok,2
train,100_7271,True,ok,2
train,100_7291,True,ok,3
train,100_7311,True,ok,3
train,100_7331,True,ok,3
train,100_7351,True,ok,2
train,100_7371,True,ok,2
train,100_7391,True,ok,2
train,100_7409,True,ok,2
train,100_7411,True,ok,2
train,100_7431,True,ok,2
train,100_7444,True,ok,1
train,100_7451,True,ok,1
train,100_7471,True,ok,1
train,100_7481,True,ok,1
train,100_7501,True,ok,1
train,100_7521,True,ok,1
train,100_7673,True,ok,1
train,100_7683,True,ok,1
train,100_7693,True,ok,1
train,100_7713,True,ok,1
train,100_7733,True,ok,1
train,100_7753,True,ok,1
train,100_7773,True,ok,3
train,100_7793,True,ok,3
train,100_7813,True,ok,3
train,100_7833,True,ok,3
train,100_7843,True,ok,1
train,100_7853,True,ok,3
train,100_7863,True,ok,5
train,100_7883,True,ok,5
train,100_7903,True,ok,5
train,100_7913,True,ok,4
train,100_7923,True,ok,5
train,100_7936,True,ok,5
train,100_7943,True,ok,5
train,100_7953,True,ok,5
train,100_7963,True,ok,4
train,100_7973,True,ok,2
train,100_7993,True,ok,2
train,100_8003,True,ok,2
train,100_954,True,ok,1
train,100_974,True,ok,2
train,100_984,True,ok,1
train,100_994,True,ok,2
train,101_1012,True,ok,2
train,101_1032,True,ok,2
train,101_1052,True,ok,2
train,101_1072,True,ok,2
train,101_1092,True,ok,2
train,101_1112,True,ok,2
train,101_1132,True,ok,2
train,101_1152,True,ok,2
train,101_1172,True,ok,2
train,101_1192,True,ok,2
train,101_1194,True,ok,2
train,101_1202,True,ok,2
train,101_1205,True,ok,1
train,101_1209,True,ok,2
train,101_1210,True,ok,2
train,101_1211,True,ok,2
train,101_1231,True,ok,2
train,101_1241,True,ok,2
train,101_1251,True,ok,2
train,101_1271,True,ok,2
train,101_1291,True,ok,2
train,101_1297,True,ok,2
train,101_1347,True,ok,2
train,101_1367,True,ok,2
train,101_1471,True,ok,1
train,101_1491,True,ok,1
train,101_1511,True,ok,1
train,101_1531,True,ok,1
train,101_1551,True,ok,1
train,101_1571,True,ok,1
train,101_1591,True,ok,1
train,101_1611,True,ok,1
train,101_1631,True,ok,1
train,101_1651,True,ok,1
train,101_1671,True,ok,1
train,101_1691,True,ok,1
train,101_1711,True,ok,1
train,101_1731,True,ok,1
train,101_1734,True,ok,1
train,101_1739,True,ok,1
train,101_1742,True,ok,1
train,101_1750,True,ok,1
train,101_1751,True,ok,1
train,101_1752,True,ok,1
train,101_1771,True,ok,1
train,101_1781,True,ok,1
train,101_1796,True,ok,1
train,101_1801,True,ok,1
train,101_1803,True,ok,1
