split,image,flight,frame,boxes,source
train,0_8082,0,8082,1,mots_only
train,0_8083,0,8083,1,mots_only
train,0_8084,0,8084,1,mots_only
train,0_8086,0,8086,1,mots_only
train,0_8087,0,8087,1,mots_only
train,0_8088,0,8088,1,mots_only
train,0_8089,0,8089,1,mots_only
train,0_8090,0,8090,1,mots_only
train,0_8091,0,8091,1,mots_only
train,0_8092,0,8092,1,mots_only
train,0_8093,0,8093,1,mots_only
train,0_8094,0,8094,1,mots_only
train,0_8095,0,8095,1,mots_only
train,0_8096,0,8096,1,mots_only
train,0_8097,0,8097,1,mots_only
train,0_8098,0,8098,1,mots_only
train,0_8099,0,8099,1,mots_only
train,0_8101,0,8101,1,mots_only
train,0_8102,0,8102,1,mots_only
train,0_8103,0,8103,1,mots_only
train,0_8104,0,8104,1,mots_only
train,0_8105,0,8105,1,mots_only
train,0_8106,0,8106,1,mots_only
train,0_8107,0,8107,1,mots_only
train,0_8108,0,8108,1,mots_only
train,0_8109,0,8109,1,mots_only
train,0_8110,0,8110,1,mots_only
train,0_8111,0,8111,1,mots_only
train,0_8112,0,8112,1,mots_only
train,0_8113,0,8113,1,mots_only
train,0_8114,0,8114,1,mots_only
train,0_8115,0,8115,1,mots_only
train,0_8116,0,8116,1,mots_only
train,0_8117,0,8117,1,mots_only
train,0_8118,0,8118,1,mots_only
train,0_8119,0,8119,1,mots_only
train,0_8120,0,8120,1,mots_only
train,0_8121,0,8121,1,mots_only
train,0_8122,0,8122,1,mots_only
train,0_8123,0,8123,1,mots_only
train,0_8124,0,8124,1,mots_only
train,0_8125,0,8125,1,mots_only
train,0_8126,0,8126,1,mots_only
train,0_8127,0,8127,1,mots_only
train,0_8128,0,8128,1,mots_only
train,0_8129,0,8129,1,mots_only
train,0_8130,0,8130,1,mots_only
train,0_8131,0,8131,1,mots_only
train,0_8132,0,8132,1,mots_only
train,0_8133,0,8133,1,mots_only
train,0_8134,0,8134,1,mots_only
train,0_8135,0,8135,1,mots_only
train,0_8136,0,8136,1,mots_only
train,0_8137,0,8137,1,mots_only
train,0_8138,0,8138,1,mots_only
train,0_8139,0,8139,1,mots_only
train,0_8140,0,8140,1,mots_only
train,0_8141,0,8141,1,mots_only
train,0_8161,0,8161,1,mots_only
train,0_8583,0,8583,1,mots_only
train,0_8591,0,8591,1,mots_only
train,0_8637,0,8637,1,mots_only
train,0_8642,0,8642,1,mots_only
train,0_8643,0,8643,1,mots_only
train,0_8645,0,8645,1,mots_only
train,0_8656,0,8656,1,mots_only
train,0_8658,0,8658,1,mots_only
train,0_8659,0,8659,1,mots_only
train,0_8660,0,8660,1,mots_only
train,0_8673,0,8673,1,mots_only
train,0_8677,0,8677,1,mots_only
