epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.358,2.12864,2.82338,1.43077,0.40367,0.42393,0.3271,0.13174,2.19141,2.23455,1.56314,0.000666301,0.000666301,0.000666301
2,806.137,2.03187,1.88868,1.42573,0.42612,0.4339,0.32553,0.12643,2.19956,2.34941,1.57562,0.00126699,0.00126699,0.00126699
3,1101.62,2.00482,1.77476,1.40737,0.38224,0.47489,0.31507,0.12479,2.31331,2.31538,1.68988,0.00180167,0.00180167,0.00180167
4,1403.72,1.98616,1.70642,1.40332,0.48712,0.47692,0.37233,0.14554,2.28992,2.1822,1.68538,0.001703,0.001703,0.001703
5,1704.1,1.96129,1.63627,1.39175,0.48842,0.50055,0.39723,0.16947,2.13094,2.06571,1.58913,0.001604,0.001604,0.001604
6,2003.87,1.94451,1.55653,1.39102,0.43443,0.4723,0.34831,0.12806,2.40944,2.07538,1.76137,0.001505,0.001505,0.001505
7,2300.81,1.92434,1.51214,1.38212,0.46936,0.49151,0.36286,0.13618,2.3339,2.16364,1.74004,0.001406,0.001406,0.001406
8,2588.59,1.90634,1.47558,1.37182,0.38395,0.4003,0.27368,0.09162,2.54176,2.31447,1.86327,0.001307,0.001307,0.001307
9,2881.05,1.87956,1.45058,1.36707,0.4694,0.48006,0.37287,0.14776,2.2722,2.11608,1.67606,0.001208,0.001208,0.001208
10,3156.47,1.87638,1.41914,1.35775,0.46128,0.46922,0.33976,0.11081,2.58786,2.14295,1.9243,0.001109,0.001109,0.001109
11,3493.19,1.8503,1.36941,1.44228,0.46091,0.48283,0.37816,0.1484,2.29297,2.03652,1.71147,0.00101,0.00101,0.00101
12,4058.86,1.82514,1.33911,1.43041,0.5189,0.49029,0.407,0.16302,2.31522,2.03813,1.74743,0.000911,0.000911,0.000911
13,4382.64,1.81228,1.30055,1.42143,0.55789,0.50279,0.43108,0.16241,2.33781,2.03491,1.74465,0.000812,0.000812,0.000812
14,4596.88,1.78945,1.25814,1.41096,0.50849,0.51532,0.42131,0.16623,2.28491,1.92927,1.71438,0.000713,0.000713,0.000713
15,4813.56,1.78298,1.23865,1.40199,0.51876,0.46861,0.40066,0.1633,2.28589,2.04836,1.72019,0.000614,0.000614,0.000614
16,5035.18,1.75485,1.20225,1.38786,0.52998,0.46289,0.39931,0.15667,2.33327,2.03572,1.75684,0.000515,0.000515,0.000515
17,5257.94,1.73487,1.17668,1.38305,0.50459,0.49483,0.40155,0.15415,2.31877,2.04578,1.74474,0.000416,0.000416,0.000416
18,5479.24,1.72102,1.16209,1.37699,0.49954,0.48726,0.40485,0.15886,2.36559,2.02831,1.78367,0.000317,0.000317,0.000317
19,5704.32,1.70309,1.13602,1.36563,0.48713,0.48061,0.39755,0.15848,2.31863,2.05474,1.75353,0.000218,0.000218,0.000218
20,5926.25,1.68409,1.11156,1.35241,0.50706,0.47858,0.40319,0.1583,2.35138,2.06754,1.79102,0.000119,0.000119,0.000119
