epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.949,2.1488,2.51432,1.53126,0.34372,0.43575,0.2711,0.09493,2.35937,2.60748,1.73408,0.000666484,0.000666484,0.000666484
2,1220.66,2.06476,1.95204,1.5081,0.49187,0.51514,0.40674,0.1652,2.22724,2.17441,1.64869,0.00126716,0.00126716,0.00126716
3,2129.26,2.051,1.85483,1.49099,0.42839,0.47083,0.33543,0.13684,2.27713,2.20155,1.7177,0.00180184,0.00180184,0.00180184
4,2521.73,2.01453,1.8073,1.46695,0.4333,0.4673,0.34325,0.13313,2.29743,2.16134,1.70576,0.001703,0.001703,0.001703
5,2919.73,1.98511,1.7301,1.45953,0.48506,0.49517,0.36814,0.14278,2.26711,2.17118,1.6956,0.001604,0.001604,0.001604
6,3319.03,1.95756,1.67012,1.44249,0.43216,0.46806,0.32486,0.11446,2.47906,2.24819,1.82173,0.001505,0.001505,0.001505
7,3717.46,1.93595,1.61773,1.42469,0.41906,0.47522,0.3442,0.12985,2.29254,2.23513,1.69527,0.001406,0.001406,0.001406
8,4117.34,1.91399,1.56348,1.4097,0.42707,0.49428,0.34537,0.13638,2.24147,2.13478,1.66987,0.001307,0.001307,0.001307
9,4516.68,1.89273,1.54429,1.40221,0.50145,0.53323,0.40337,0.15711,2.24777,2.03588,1.68051,0.001208,0.001208,0.001208
10,4916.78,1.88717,1.5041,1.39134,0.44822,0.52751,0.38062,0.15529,2.22892,2.05074,1.67666,0.001109,0.001109,0.001109
11,5323.05,1.86089,1.44753,1.46023,0.45825,0.51976,0.39282,0.16498,2.22994,2.02989,1.67271,0.00101,0.00101,0.00101
12,5720.93,1.84104,1.41912,1.44933,0.46559,0.51976,0.41007,0.17049,2.1945,2.00223,1.63944,0.000911,0.000911,0.000911
13,6117.79,1.82496,1.37868,1.44134,0.47682,0.54579,0.42346,0.17705,2.24199,1.99159,1.67168,0.000812,0.000812,0.000812
14,6515.22,1.81121,1.34127,1.43111,0.50647,0.56684,0.43329,0.17684,2.23701,1.942,1.67993,0.000713,0.000713,0.000713
15,6911.4,1.79176,1.30936,1.4233,0.46223,0.51134,0.39937,0.16274,2.24071,1.99454,1.6829,0.000614,0.000614,0.000614
16,7307.15,1.7715,1.28297,1.40851,0.5098,0.55187,0.42992,0.1722,2.28426,1.96104,1.71383,0.000515,0.000515,0.000515
17,7702.24,1.75787,1.25036,1.40227,0.46629,0.52788,0.39848,0.15688,2.34141,2.01799,1.75508,0.000416,0.000416,0.000416
18,8097.56,1.73764,1.22623,1.39812,0.48981,0.53564,0.39479,0.15837,2.3053,2.07465,1.73482,0.000317,0.000317,0.000317
19,8491.68,1.72239,1.2067,1.38495,0.4716,0.55156,0.40269,0.15954,2.32485,1.99117,1.74728,0.000218,0.000218,0.000218
20,8886.49,1.7056,1.17192,1.37372,0.47713,0.54337,0.39972,0.15696,2.3492,2.0383,1.74964,0.000119,0.000119,0.000119
